Source Name,RA,Dec,Significance,Energy Flux,L_BL Lac,L_FSRQ
4FGL J0942.7-2028,145.6904,-20.4752,11.2900,$(3.0\pm0.40)	imes10^{-12}$,0.9947,0.0053
4FGL J0439.4-3202,69.8634,-32.0405,12.8300,$(2.9\pm0.37)	imes10^{-12}$,0.9947,0.0053
4FGL J1428.7-1017,217.1991,-10.2964,7.8000,$(1.5\pm0.45)	imes10^{-12}$,0.9947,0.0053
4FGL J0212.2-2559,33.0591,-25.9945,7.8900,$(1.7\pm0.29)	imes10^{-12}$,0.9946,0.0054
4FGL J2313.4-6922,348.3533,-69.3820,7.3400,$(1.0\pm0.27)	imes10^{-12}$,0.9944,0.0056
4FGL J0706.1+0246,106.5454,2.7772,7.5500,$(2.2\pm0.48)	imes10^{-12}$,0.9943,0.0057
4FGL J0425.3+6319,66.3371,63.3262,16.5500,$(5.0\pm0.53)	imes10^{-12}$,0.9942,0.0058
4FGL J1232.5-3720,188.1454,-37.3412,17.4500,$(5.0\pm0.48)	imes10^{-12}$,0.9942,0.0058
4FGL J0754.0+0451,118.5213,4.8565,12.9700,$(3.2\pm0.40)	imes10^{-12}$,0.9942,0.0058
4FGL J0356.1-1329,59.0313,-13.4860,7.2400,$(1.4\pm0.30)	imes10^{-12}$,0.9942,0.0058
4FGL J1340.0-1501,205.0211,-15.0265,6.3700,$(1.4\pm0.34)	imes10^{-12}$,0.9941,0.0059
4FGL J0725.5+0216,111.3901,2.2749,16.1000,$(5.0\pm0.66)	imes10^{-12}$,0.9941,0.0059
4FGL J2143.9+3337,325.9975,33.6280,9.4100,$(3.1\pm0.44)	imes10^{-12}$,0.9941,0.0059
4FGL J1553.5-6910,238.3897,-69.1818,5.1800,$(1.3\pm0.37)	imes10^{-12}$,0.9940,0.0060
4FGL J0350.4-5144,57.6127,-51.7434,11.0900,$(2.0\pm0.28)	imes10^{-12}$,0.9939,0.0061
4FGL J1220.2-3713,185.0693,-37.2235,13.1900,$(3.0\pm0.47)	imes10^{-12}$,0.9938,0.0062
4FGL J0820.1-2801,125.0399,-28.0255,5.6800,$(1.4\pm0.39)	imes10^{-12}$,0.9938,0.0062
4FGL J1735.0-0132,263.7734,-1.5493,4.9100,$(1.4\pm0.41)	imes10^{-12}$,0.9937,0.0063
4FGL J0003.1-5248,0.7817,-52.8071,17.9800,$(4.0\pm0.39)	imes10^{-12}$,0.9936,0.0064
