Source Name,RA,Dec,Significance,Energy Flux,L_BL Lac,L_FSRQ
4FGL J0800.3+5611,120.0813,56.1888,8.3600,$(1.1\pm0.25)	imes10^{-12}$,0.9734,0.0266
4FGL J0551.8-3517,87.9674,-35.2839,5.5000,$(1.3\pm0.29)	imes10^{-12}$,0.9731,0.0269
4FGL J1322.6-1418,200.6681,-14.3078,4.5700,$(1.3\pm0.35)	imes10^{-12}$,0.9728,0.0272
4FGL J0519.6+2744,79.9026,27.7405,6.8100,$(1.5\pm0.36)	imes10^{-12}$,0.9728,0.0272
4FGL J0402.9+6433,60.7373,64.5517,6.5200,$(1.9\pm0.51)	imes10^{-12}$,0.9726,0.0274
4FGL J0333.8+4007,53.4658,40.1196,7.6100,$(1.7\pm0.40)	imes10^{-12}$,0.9724,0.0276
4FGL J1432.8+7648,218.2073,76.8050,8.3400,$(1.8\pm0.26)	imes10^{-12}$,0.9723,0.0277
4FGL J1121.3-0011,170.3496,-0.1836,6.5800,$(1.8\pm0.36)	imes10^{-12}$,0.9722,0.0278
4FGL J1707.9+0016,256.9886,0.2731,4.3900,$(1.5\pm0.43)	imes10^{-12}$,0.9719,0.0281
4FGL J1126.8-3829,171.7152,-38.4959,19.5700,$(5.6\pm0.55)	imes10^{-12}$,0.9718,0.0282
4FGL J1855.8-2028,283.9749,-20.4694,6.4300,$(1.7\pm0.47)	imes10^{-12}$,0.9718,0.0282
4FGL J0007.7+4008,1.9275,40.1340,15.0500,$(3.4\pm0.54)	imes10^{-12}$,0.9716,0.0284
4FGL J1958.1-0711,299.5338,-7.1926,7.0400,$(2.5\pm0.48)	imes10^{-12}$,0.9716,0.0284
4FGL J1945.1-4007,296.2922,-40.1209,8.3200,$(1.8\pm0.35)	imes10^{-12}$,0.9715,0.0285
4FGL J1111.8+4858,167.9695,48.9798,5.5000,$(0.8\pm0.21)	imes10^{-12}$,0.9715,0.0285
4FGL J2045.1-2346,311.2814,-23.7785,10.6400,$(3.0\pm0.40)	imes10^{-12}$,0.9715,0.0285
4FGL J0240.8-3401,40.2025,-34.0177,7.4300,$(1.6\pm0.28)	imes10^{-12}$,0.9710,0.0290
4FGL J1944.2+3921,296.0679,39.3645,15.3700,$(4.5\pm0.60)	imes10^{-12}$,0.9709,0.0291
4FGL J0412.6-5434,63.1542,-54.5722,4.8600,$(0.9\pm0.22)	imes10^{-12}$,0.9708,0.0292
4FGL J1104.0+2611,166.0070,26.1873,8.4000,$(1.7\pm0.30)	imes10^{-12}$,0.9707,0.0293
4FGL J0008.4+1455,2.1246,14.9232,17.4400,$(4.3\pm0.55)	imes10^{-12}$,0.9706,0.0294
4FGL J0447.2-2539,71.8123,-25.6514,8.9600,$(1.9\pm0.32)	imes10^{-12}$,0.9704,0.0296
4FGL J2037.9-0504,309.4771,-5.0682,6.5600,$(2.0\pm0.38)	imes10^{-12}$,0.9700,0.0300
4FGL J2102.3+4702,315.5784,47.0422,19.0800,$(12.6\pm1.73)	imes10^{-12}$,0.9699,0.0301
4FGL J0748.3+8511,117.0818,85.1967,14.8600,$(2.4\pm0.36)	imes10^{-12}$,0.9698,0.0302
4FGL J0731.8-3009,112.9639,-30.1553,9.0100,$(3.7\pm0.58)	imes10^{-12}$,0.9698,0.0302
4FGL J1942.1+4011,295.5390,40.1984,10.3200,$(4.7\pm0.57)	imes10^{-12}$,0.9697,0.0303
4FGL J1627.7+0251,246.9419,2.8584,8.2200,$(1.6\pm0.36)	imes10^{-12}$,0.9692,0.0308
4FGL J0130.4-2129,22.6226,-21.4998,7.1100,$(1.6\pm0.30)	imes10^{-12}$,0.9691,0.0309
4FGL J0357.2-0319,59.3234,-3.3225,8.6300,$(2.1\pm0.43)	imes10^{-12}$,0.9688,0.0312
4FGL J0548.5-5218,87.1442,-52.3153,7.2000,$(0.9\pm0.20)	imes10^{-12}$,0.9688,0.0312
4FGL J0557.3-0615,89.3437,-6.2654,8.1600,$(3.1\pm0.61)	imes10^{-12}$,0.9686,0.0314
4FGL J0906.2-1707,136.5716,-17.1255,6.3100,$(1.6\pm0.36)	imes10^{-12}$,0.9679,0.0321
4FGL J1251.3-0201,192.8360,-2.0271,20.5400,$(5.3\pm0.56)	imes10^{-12}$,0.9676,0.0324
4FGL J0835.9-2120,128.9862,-21.3456,4.6500,$(1.2\pm0.36)	imes10^{-12}$,0.9676,0.0324
4FGL J0836.0-8015,129.0037,-80.2565,4.8500,$(0.9\pm0.26)	imes10^{-12}$,0.9676,0.0324
4FGL J0311.6+4134,47.9028,41.5810,4.5300,$(1.2\pm0.39)	imes10^{-12}$,0.9669,0.0331
4FGL J1240.1-6846,190.0475,-68.7734,12.0500,$(4.9\pm0.77)	imes10^{-12}$,0.9668,0.0332
4FGL J0156.1+1502,29.0316,15.0405,4.1900,$(1.0\pm0.29)	imes10^{-12}$,0.9667,0.0333
4FGL J2221.8+3358,335.4661,33.9753,4.5100,$(1.2\pm0.33)	imes10^{-12}$,0.9666,0.0334
4FGL J1125.0-5804,171.2543,-58.0822,12.7700,$(3.5\pm0.56)	imes10^{-12}$,0.9665,0.0335
4FGL J1141.4+6805,175.3583,68.0984,15.1100,$(2.3\pm0.34)	imes10^{-12}$,0.9660,0.0340
4FGL J0805.8-2331,121.4651,-23.5330,6.8000,$(2.5\pm0.49)	imes10^{-12}$,0.9660,0.0340
4FGL J1811.2-2759,272.8079,-27.9956,8.3900,$(6.0\pm1.10)	imes10^{-12}$,0.9659,0.0341
4FGL J2042.6+1629,310.6679,16.4944,8.2200,$(2.6\pm0.47)	imes10^{-12}$,0.9659,0.0341
4FGL J0102.6-5639,15.6562,-56.6556,7.4600,$(1.8\pm0.33)	imes10^{-12}$,0.9654,0.0346
4FGL J1649.3+8252,252.3422,82.8755,5.1000,$(1.2\pm0.31)	imes10^{-12}$,0.9654,0.0346
4FGL J1654.0-3509,253.5107,-35.1552,9.1400,$(7.0\pm1.02)	imes10^{-12}$,0.9649,0.0351
4FGL J2259.8-1552,344.9526,-15.8809,15.8200,$(3.8\pm0.52)	imes10^{-12}$,0.9644,0.0356
4FGL J0249.7+4500,42.4447,45.0108,4.8000,$(0.7\pm0.23)	imes10^{-12}$,0.9644,0.0356
4FGL J1719.3+1205,259.8323,12.0975,11.2700,$(3.5\pm0.51)	imes10^{-12}$,0.9644,0.0356
4FGL J0014.8+6118,3.7212,61.3037,17.6800,$(6.5\pm0.76)	imes10^{-12}$,0.9644,0.0356
4FGL J1946.0+0937,296.5129,9.6193,7.9400,$(3.1\pm0.61)	imes10^{-12}$,0.9642,0.0358
4FGL J0600.3+1244,90.0816,12.7444,12.6800,$(4.3\pm0.67)	imes10^{-12}$,0.9638,0.0362
4FGL J0102.7-2001,15.6935,-20.0305,5.9600,$(0.8\pm0.29)	imes10^{-12}$,0.9638,0.0362
4FGL J2345.9+3413,356.4893,34.2279,4.8600,$(0.9\pm0.29)	imes10^{-12}$,0.9635,0.0365
4FGL J1446.8-1830,221.7247,-18.5140,6.2100,$(1.9\pm0.40)	imes10^{-12}$,0.9632,0.0368
4FGL J1937.0+8354,294.2750,83.9080,8.6900,$(1.9\pm0.28)	imes10^{-12}$,0.9631,0.0369
4FGL J0559.6+3044,89.9039,30.7471,8.2800,$(2.2\pm0.45)	imes10^{-12}$,0.9630,0.0370
4FGL J0508.2+5211,77.0591,52.1886,5.9100,$(2.4\pm0.53)	imes10^{-12}$,0.9627,0.0373
4FGL J0001.8-2153,0.4647,-21.8865,4.5800,$(1.1\pm0.28)	imes10^{-12}$,0.9627,0.0373
4FGL J2228.5+2211,337.1455,22.1914,9.3400,$(3.3\pm0.50)	imes10^{-12}$,0.9626,0.0374
4FGL J2256.4-7119,344.1088,-71.3227,7.9800,$(1.2\pm0.30)	imes10^{-12}$,0.9624,0.0376
4FGL J2347.9+5436,356.9809,54.6065,18.1900,$(4.3\pm0.49)	imes10^{-12}$,0.9622,0.0378
4FGL J2350.9-1416,357.7469,-14.2756,6.7500,$(1.5\pm0.31)	imes10^{-12}$,0.9621,0.0379
4FGL J2031.1-2615,307.7907,-26.2582,11.1800,$(2.5\pm0.45)	imes10^{-12}$,0.9619,0.0381
4FGL J2207.1+4316,331.7878,43.2677,12.1900,$(4.8\pm0.67)	imes10^{-12}$,0.9617,0.0383
4FGL J1151.6-2115,177.9203,-21.2515,7.2800,$(1.9\pm0.35)	imes10^{-12}$,0.9616,0.0384
4FGL J0330.7-2408,52.6938,-24.1470,8.2300,$(1.5\pm0.28)	imes10^{-12}$,0.9615,0.0385
4FGL J0738.4+1539,114.6058,15.6602,5.7200,$(1.5\pm0.32)	imes10^{-12}$,0.9611,0.0389
4FGL J1741.8-2537,265.4577,-25.6206,12.4300,$(13.2\pm1.78)	imes10^{-12}$,0.9604,0.0396
4FGL J1256.1-5919,194.0333,-59.3198,12.8700,$(6.9\pm0.83)	imes10^{-12}$,0.9602,0.0398
4FGL J1617.3-1513,244.3335,-15.2294,6.5300,$(1.8\pm0.44)	imes10^{-12}$,0.9600,0.0400
4FGL J1559.1+6736,239.7844,67.6153,10.5200,$(1.9\pm0.26)	imes10^{-12}$,0.9594,0.0406
4FGL J0130.6+1844,22.6592,18.7477,7.3700,$(1.9\pm0.35)	imes10^{-12}$,0.9594,0.0406
4FGL J1847.6+5219,281.9079,52.3295,8.6000,$(2.1\pm0.30)	imes10^{-12}$,0.9594,0.0406
4FGL J1432.2+5051,218.0682,50.8596,7.1600,$(1.6\pm0.27)	imes10^{-12}$,0.9592,0.0408
4FGL J1341.1+7433,205.2751,74.5637,4.9800,$(0.6\pm0.17)	imes10^{-12}$,0.9591,0.0409
4FGL J1939.8-4928,294.9635,-49.4678,9.9200,$(2.8\pm0.39)	imes10^{-12}$,0.9590,0.0410
4FGL J2247.1+4658,341.7781,46.9755,4.4900,$(0.7\pm0.30)	imes10^{-12}$,0.9590,0.0410
4FGL J1733.4-3943,263.3722,-39.7250,11.4400,$(9.8\pm1.18)	imes10^{-12}$,0.9585,0.0415
4FGL J0147.6-6028,26.9157,-60.4752,5.4700,$(0.9\pm0.22)	imes10^{-12}$,0.9585,0.0415
4FGL J0751.4+2655,117.8664,26.9275,5.7400,$(0.8\pm0.22)	imes10^{-12}$,0.9579,0.0421
4FGL J0225.5-5618,36.3842,-56.3049,4.5700,$(0.7\pm0.24)	imes10^{-12}$,0.9574,0.0426
4FGL J0310.9-3458,47.7280,-34.9797,6.0600,$(1.3\pm0.25)	imes10^{-12}$,0.9572,0.0428
4FGL J2015.0+1621,303.7645,16.3656,11.5800,$(5.0\pm0.61)	imes10^{-12}$,0.9571,0.0429
4FGL J1605.8+7208,241.4536,72.1386,4.9000,$(0.7\pm0.19)	imes10^{-12}$,0.9570,0.0430
4FGL J0156.6-1758,29.1655,-17.9732,6.1000,$(1.5\pm0.30)	imes10^{-12}$,0.9568,0.0432
4FGL J2026.1+7645,306.5382,76.7589,11.7400,$(2.2\pm0.34)	imes10^{-12}$,0.9565,0.0435
4FGL J1304.9-2107,196.2262,-21.1311,10.2300,$(4.0\pm0.54)	imes10^{-12}$,0.9561,0.0439
4FGL J1844.8-3248,281.2105,-32.8055,4.1200,$(1.4\pm0.42)	imes10^{-12}$,0.9550,0.0450
4FGL J2040.1-4621,310.0412,-46.3652,8.7900,$(1.9\pm0.42)	imes10^{-12}$,0.9549,0.0451
4FGL J2331.2-3839,352.8239,-38.6649,5.9000,$(0.8\pm0.26)	imes10^{-12}$,0.9546,0.0454
4FGL J0705.9+5309,106.4933,53.1652,8.1700,$(1.8\pm0.30)	imes10^{-12}$,0.9543,0.0457
4FGL J0501.0+2424,75.2707,24.4113,8.1900,$(1.8\pm0.38)	imes10^{-12}$,0.9538,0.0462
4FGL J0409.4+3201,62.3650,32.0299,10.1900,$(3.3\pm0.48)	imes10^{-12}$,0.9534,0.0466
4FGL J1039.9+7326,159.9978,73.4422,9.9200,$(2.5\pm0.36)	imes10^{-12}$,0.9531,0.0469
4FGL J0541.1-4854,85.2785,-48.9105,8.0200,$(1.7\pm0.29)	imes10^{-12}$,0.9522,0.0478
4FGL J0226.6-0553,36.6618,-5.8849,11.5200,$(3.1\pm0.36)	imes10^{-12}$,0.9520,0.0480
4FGL J0301.2+2546,45.3106,25.7753,5.8900,$(2.0\pm0.43)	imes10^{-12}$,0.9519,0.0481
4FGL J0524.5+2839,81.1280,28.6572,19.5200,$(9.4\pm0.75)	imes10^{-12}$,0.9517,0.0483
4FGL J1830.7-2713,277.6924,-27.2281,13.5800,$(6.6\pm0.98)	imes10^{-12}$,0.9517,0.0483
4FGL J2142.8+1958,325.7011,19.9820,8.2200,$(1.5\pm0.37)	imes10^{-12}$,0.9507,0.0493
4FGL J1014.7+3210,153.6846,32.1733,8.0600,$(1.7\pm0.29)	imes10^{-12}$,0.9507,0.0493
4FGL J1017.2-1549,154.3184,-15.8274,4.7500,$(0.8\pm0.27)	imes10^{-12}$,0.9501,0.0499
4FGL J0237.6+0923,39.4244,9.3844,8.6900,$(2.1\pm0.48)	imes10^{-12}$,0.9501,0.0499
4FGL J0450.4+7230,72.6181,72.5137,8.8000,$(2.1\pm0.33)	imes10^{-12}$,0.9496,0.0504
4FGL J1753.4-5913,268.3596,-59.2257,4.2800,$(1.3\pm0.37)	imes10^{-12}$,0.9496,0.0504
4FGL J1859.0+2329,284.7715,23.4993,7.8400,$(3.5\pm0.62)	imes10^{-12}$,0.9496,0.0504
4FGL J0500.2+5237,75.0735,52.6332,16.6500,$(5.8\pm0.59)	imes10^{-12}$,0.9494,0.0506
4FGL J0658.1-5840,104.5389,-58.6719,7.1000,$(1.9\pm0.35)	imes10^{-12}$,0.9490,0.0510
4FGL J1454.1+2647,223.5482,26.7869,6.8300,$(1.8\pm0.32)	imes10^{-12}$,0.9490,0.0510
4FGL J0049.5-4150,12.3973,-41.8460,5.7700,$(1.2\pm0.27)	imes10^{-12}$,0.9487,0.0513
4FGL J1337.5-7802,204.3858,-78.0450,8.7000,$(2.7\pm0.44)	imes10^{-12}$,0.9486,0.0514
4FGL J1030.2-8403,157.5622,-84.0573,7.3400,$(2.1\pm0.39)	imes10^{-12}$,0.9485,0.0515
4FGL J1228.3+7521,187.0827,75.3527,7.7500,$(1.4\pm0.24)	imes10^{-12}$,0.9483,0.0517
4FGL J0058.6-1140,14.6500,-11.6791,5.6700,$(1.4\pm0.31)	imes10^{-12}$,0.9482,0.0518
4FGL J0624.1-6330,96.0406,-63.5097,4.0800,$(1.0\pm0.28)	imes10^{-12}$,0.9477,0.0523
4FGL J1758.3+1429,269.5804,14.4960,8.6600,$(3.6\pm0.53)	imes10^{-12}$,0.9472,0.0528
4FGL J0224.2+1616,36.0681,16.2667,8.2200,$(2.8\pm0.46)	imes10^{-12}$,0.9470,0.0530
4FGL J0223.5+3912,35.8899,39.2153,12.4700,$(2.5\pm0.45)	imes10^{-12}$,0.9469,0.0531
4FGL J1953.0-7025,298.2682,-70.4210,13.0300,$(3.7\pm0.43)	imes10^{-12}$,0.9468,0.0532
4FGL J2016.3-2331,304.0914,-23.5329,10.8200,$(2.3\pm0.37)	imes10^{-12}$,0.9468,0.0532
4FGL J1158.9+0818,179.7482,8.3006,8.5700,$(2.1\pm0.34)	imes10^{-12}$,0.9465,0.0535
4FGL J0156.9-3235,29.2453,-32.5984,4.2400,$(0.6\pm0.22)	imes10^{-12}$,0.9464,0.0536
4FGL J1508.4+7717,227.1020,77.2929,11.1000,$(2.2\pm0.27)	imes10^{-12}$,0.9459,0.0541
4FGL J0102.0+1639,15.5228,16.6524,6.6500,$(1.9\pm0.36)	imes10^{-12}$,0.9458,0.0542
4FGL J0242.6+1735,40.6588,17.5984,10.0200,$(2.5\pm0.64)	imes10^{-12}$,0.9457,0.0543
4FGL J0214.6-4333,33.6682,-43.5527,4.3100,$(0.6\pm0.22)	imes10^{-12}$,0.9457,0.0543
4FGL J2040.0+1237,310.0205,12.6179,4.2100,$(1.3\pm0.37)	imes10^{-12}$,0.9455,0.0545
4FGL J0338.7-5319,54.6783,-53.3324,4.8000,$(0.8\pm0.23)	imes10^{-12}$,0.9449,0.0551
4FGL J1225.4-1550,186.3699,-15.8470,4.0100,$(0.5\pm0.22)	imes10^{-12}$,0.9441,0.0559
4FGL J0848.7-6942,132.1811,-69.7133,4.1400,$(0.6\pm0.22)	imes10^{-12}$,0.9441,0.0559
4FGL J0920.2-3835,140.0695,-38.5999,5.1400,$(1.8\pm0.48)	imes10^{-12}$,0.9437,0.0563
4FGL J0039.1+4330,9.7994,43.5122,9.1800,$(1.6\pm0.34)	imes10^{-12}$,0.9435,0.0565
4FGL J0040.9+3203,10.2393,32.0529,5.8100,$(1.3\pm0.37)	imes10^{-12}$,0.9432,0.0568
4FGL J1014.9-4508,153.7325,-45.1430,11.6100,$(4.6\pm0.52)	imes10^{-12}$,0.9429,0.0571
4FGL J2137.4-3209,324.3641,-32.1552,6.2200,$(1.0\pm0.29)	imes10^{-12}$,0.9425,0.0575
4FGL J0459.4+1921,74.8599,19.3623,4.9500,$(1.6\pm0.46)	imes10^{-12}$,0.9425,0.0575
4FGL J2133.6+8002,323.4049,80.0386,4.5900,$(0.5\pm0.17)	imes10^{-12}$,0.9423,0.0577
4FGL J0659.6-6742,104.9243,-67.7123,7.4500,$(1.4\pm0.31)	imes10^{-12}$,0.9423,0.0577
4FGL J1326.6+0152,201.6598,1.8798,4.8300,$(1.1\pm0.31)	imes10^{-12}$,0.9420,0.0580
4FGL J0909.1+6647,137.2797,66.7864,4.7000,$(0.8\pm0.27)	imes10^{-12}$,0.9418,0.0582
4FGL J1208.2-7810,182.0571,-78.1799,9.1200,$(2.8\pm0.42)	imes10^{-12}$,0.9417,0.0583
4FGL J0933.5-5240,143.3964,-52.6753,8.5400,$(2.8\pm0.61)	imes10^{-12}$,0.9417,0.0583
4FGL J0749.0-2956,117.2727,-29.9480,5.5500,$(2.3\pm0.62)	imes10^{-12}$,0.9414,0.0586
4FGL J1322.3-0606,200.5867,-6.1057,11.3200,$(2.0\pm0.33)	imes10^{-12}$,0.9405,0.0595
4FGL J0715.3-6828,108.8281,-68.4827,6.0100,$(1.8\pm0.38)	imes10^{-12}$,0.9405,0.0595
4FGL J0025.7-4801,6.4351,-48.0191,13.2300,$(2.1\pm0.45)	imes10^{-12}$,0.9405,0.0595
4FGL J0320.6+1125,50.1609,11.4328,5.3400,$(2.2\pm0.58)	imes10^{-12}$,0.9403,0.0597
4FGL J1318.7-1234,199.6936,-12.5810,18.5800,$(5.4\pm0.61)	imes10^{-12}$,0.9401,0.0599
4FGL J1249.3-0545,192.3264,-5.7621,18.5300,$(6.7\pm0.58)	imes10^{-12}$,0.9397,0.0603
4FGL J0604.9-0000,91.2410,-0.0038,12.8300,$(4.8\pm0.84)	imes10^{-12}$,0.9393,0.0607
4FGL J2359.9-3736,359.9816,-37.6160,9.7100,$(2.1\pm0.29)	imes10^{-12}$,0.9390,0.0610
4FGL J2228.0-4155,337.0038,-41.9324,4.9500,$(0.8\pm0.25)	imes10^{-12}$,0.9387,0.0613
4FGL J0322.9+0940,50.7492,9.6782,4.9600,$(1.9\pm0.54)	imes10^{-12}$,0.9378,0.0622
4FGL J1650.9+0429,252.7389,4.4977,5.2200,$(1.5\pm0.42)	imes10^{-12}$,0.9377,0.0623
4FGL J0147.7-1321,26.9263,-13.3662,4.4600,$(1.2\pm0.29)	imes10^{-12}$,0.9377,0.0623
4FGL J1612.2+2828,243.0628,28.4731,4.9100,$(1.2\pm0.29)	imes10^{-12}$,0.9374,0.0626
4FGL J1405.3-0640,211.3291,-6.6830,7.8700,$(2.4\pm0.40)	imes10^{-12}$,0.9372,0.0628
4FGL J0444.6+3425,71.1598,34.4185,11.4800,$(6.5\pm0.81)	imes10^{-12}$,0.9369,0.0631
4FGL J1225.3-3446,186.3491,-34.7813,6.9600,$(1.8\pm0.37)	imes10^{-12}$,0.9367,0.0633
4FGL J0401.0-5353,60.2646,-53.8992,8.2700,$(1.2\pm0.26)	imes10^{-12}$,0.9359,0.0641
4FGL J2127.5-5744,321.8986,-57.7406,5.3000,$(0.6\pm0.14)	imes10^{-12}$,0.9358,0.0642
4FGL J1646.7-1330,251.6974,-13.5025,5.3700,$(1.9\pm0.50)	imes10^{-12}$,0.9356,0.0644
4FGL J0647.7-4418,101.9253,-44.3058,8.8300,$(1.7\pm0.36)	imes10^{-12}$,0.9354,0.0646
4FGL J1912.7-1250,288.1967,-12.8389,8.2400,$(4.7\pm0.84)	imes10^{-12}$,0.9349,0.0651
4FGL J0426.7+6826,66.6805,68.4498,18.4200,$(6.7\pm0.52)	imes10^{-12}$,0.9337,0.0663
4FGL J0223.5+5415,35.8799,54.2500,5.6500,$(1.0\pm0.30)	imes10^{-12}$,0.9335,0.0665
4FGL J0248.6+5131,42.1587,51.5333,31.2200,$(10.5\pm0.79)	imes10^{-12}$,0.9332,0.0668
4FGL J0315.5+4231,48.8982,42.5332,5.5300,$(0.8\pm0.24)	imes10^{-12}$,0.9325,0.0675
4FGL J0333.3+0233,53.3435,2.5610,5.6700,$(1.2\pm0.34)	imes10^{-12}$,0.9325,0.0675
4FGL J0551.0-1622,87.7503,-16.3808,6.8700,$(1.0\pm0.18)	imes10^{-12}$,0.9320,0.0680
4FGL J1309.6+3718,197.4205,37.3098,5.5000,$(0.9\pm0.24)	imes10^{-12}$,0.9316,0.0684
4FGL J1549.3+4234,237.3413,42.5819,7.7800,$(1.5\pm0.26)	imes10^{-12}$,0.9312,0.0688
4FGL J0700.1-6311,105.0499,-63.1863,9.9000,$(2.5\pm0.35)	imes10^{-12}$,0.9303,0.0697
4FGL J0001.2+4741,0.3126,47.6859,4.6900,$(1.5\pm0.40)	imes10^{-12}$,0.9300,0.0700
4FGL J0504.3-0955,76.0856,-9.9215,4.2000,$(1.1\pm0.32)	imes10^{-12}$,0.9292,0.0708
4FGL J0358.7+7649,59.6760,76.8323,9.2400,$(2.5\pm0.36)	imes10^{-12}$,0.9288,0.0712
4FGL J1153.6-2553,178.4113,-25.8989,12.5100,$(2.6\pm0.42)	imes10^{-12}$,0.9281,0.0719
4FGL J1758.3-3028,269.5981,-30.4684,11.9200,$(10.5\pm1.97)	imes10^{-12}$,0.9278,0.0722
4FGL J0215.9+0300,33.9917,3.0044,12.9800,$(3.5\pm0.42)	imes10^{-12}$,0.9275,0.0725
4FGL J0423.7+0831,65.9280,8.5293,4.3100,$(0.9\pm0.33)	imes10^{-12}$,0.9272,0.0728
4FGL J0210.1+2518,32.5309,25.3048,7.2600,$(2.0\pm0.36)	imes10^{-12}$,0.9270,0.0730
4FGL J0644.6-2853,101.1743,-28.8868,10.9600,$(2.3\pm0.43)	imes10^{-12}$,0.9269,0.0731
4FGL J2235.1-0623,338.7994,-6.3955,8.1600,$(2.5\pm0.40)	imes10^{-12}$,0.9267,0.0733
4FGL J1427.4-1823,216.8669,-18.3955,11.6200,$(3.5\pm0.45)	imes10^{-12}$,0.9264,0.0736
4FGL J0928.3+7444,142.0867,74.7477,4.8000,$(0.8\pm0.22)	imes10^{-12}$,0.9264,0.0736
4FGL J1725.4+5254,261.3613,52.9144,4.1800,$(0.9\pm0.27)	imes10^{-12}$,0.9261,0.0739
4FGL J1045.9-2331,161.4973,-23.5291,5.8800,$(1.2\pm0.37)	imes10^{-12}$,0.9251,0.0749
4FGL J0206.8-5744,31.7051,-57.7483,10.8000,$(2.2\pm0.30)	imes10^{-12}$,0.9250,0.0750
4FGL J0807.0-6102,121.7564,-61.0401,8.6600,$(2.0\pm0.40)	imes10^{-12}$,0.9241,0.0759
4FGL J1528.5-2240,232.1382,-22.6707,7.0100,$(1.6\pm0.41)	imes10^{-12}$,0.9237,0.0763
4FGL J0156.9+4648,29.2427,46.8136,7.5400,$(1.5\pm0.33)	imes10^{-12}$,0.9236,0.0764
4FGL J1554.4-1215,238.6198,-12.2582,8.2400,$(2.1\pm0.48)	imes10^{-12}$,0.9234,0.0766
4FGL J2248.7-4302,342.1937,-43.0496,4.1900,$(1.0\pm0.27)	imes10^{-12}$,0.9229,0.0771
4FGL J0648.2+1745,102.0746,17.7651,5.8400,$(1.8\pm0.46)	imes10^{-12}$,0.9228,0.0772
4FGL J2030.9-1621,307.7358,-16.3649,9.1000,$(2.6\pm0.41)	imes10^{-12}$,0.9221,0.0779
4FGL J0747.2+4529,116.8224,45.4988,6.1100,$(1.6\pm0.34)	imes10^{-12}$,0.9213,0.0787
4FGL J1826.0-5037,276.5176,-50.6248,6.9900,$(2.1\pm0.38)	imes10^{-12}$,0.9209,0.0791
4FGL J0225.8+1310,36.4654,13.1770,10.6600,$(3.6\pm0.46)	imes10^{-12}$,0.9205,0.0795
4FGL J1317.6+7450,199.4106,74.8383,6.7400,$(1.3\pm0.22)	imes10^{-12}$,0.9200,0.0800
4FGL J0725.8-0054,111.4698,-0.9134,25.8700,$(10.5\pm0.64)	imes10^{-12}$,0.9197,0.0803
4FGL J1019.7+0511,154.9418,5.1905,7.6000,$(2.4\pm0.43)	imes10^{-12}$,0.9197,0.0803
4FGL J1127.6-4920,171.9007,-49.3389,8.5300,$(3.6\pm0.50)	imes10^{-12}$,0.9196,0.0804
4FGL J0701.5+2511,105.3765,25.1960,8.5200,$(2.0\pm0.37)	imes10^{-12}$,0.9196,0.0804
4FGL J0458.0+1152,74.5069,11.8727,6.9000,$(2.3\pm0.51)	imes10^{-12}$,0.9189,0.0811
4FGL J0043.6+2223,10.9095,22.3864,6.2200,$(1.8\pm0.40)	imes10^{-12}$,0.9181,0.0819
4FGL J1041.1-1201,160.2892,-12.0323,9.4100,$(2.6\pm0.39)	imes10^{-12}$,0.9174,0.0826
4FGL J2013.0-3828,303.2686,-38.4768,4.9000,$(1.1\pm0.29)	imes10^{-12}$,0.9174,0.0826
4FGL J1943.9-2705,295.9981,-27.0903,5.9000,$(2.4\pm0.50)	imes10^{-12}$,0.9173,0.0827
4FGL J0806.9-2151,121.7403,-21.8513,6.0500,$(2.2\pm0.44)	imes10^{-12}$,0.9167,0.0833
4FGL J0316.0-5626,49.0159,-56.4443,5.6500,$(1.0\pm0.23)	imes10^{-12}$,0.9159,0.0841
4FGL J0114.0+6418,18.5151,64.3040,8.3700,$(4.3\pm0.82)	imes10^{-12}$,0.9159,0.0841
4FGL J2231.6+2754,337.9043,27.9060,5.6500,$(1.0\pm0.28)	imes10^{-12}$,0.9155,0.0845
4FGL J0003.3-5905,0.8483,-59.0952,6.9100,$(1.4\pm0.27)	imes10^{-12}$,0.9148,0.0852
4FGL J0901.5+6711,135.3906,67.1960,6.8300,$(1.6\pm0.35)	imes10^{-12}$,0.9136,0.0864
4FGL J0423.1+2106,65.7805,21.1087,11.8700,$(6.8\pm0.74)	imes10^{-12}$,0.9136,0.0864
4FGL J1546.4-2903,236.6231,-29.0558,4.7700,$(1.8\pm0.42)	imes10^{-12}$,0.9134,0.0866
4FGL J2330.3-2332,352.5802,-23.5395,6.5800,$(1.7\pm0.33)	imes10^{-12}$,0.9127,0.0873
4FGL J0228.2-3102,37.0600,-31.0338,7.6300,$(1.6\pm0.29)	imes10^{-12}$,0.9126,0.0874
4FGL J0814.4+6926,123.6058,69.4350,4.5300,$(0.6\pm0.20)	imes10^{-12}$,0.9123,0.0877
4FGL J2201.5+2950,330.3958,29.8469,5.6100,$(1.7\pm0.37)	imes10^{-12}$,0.9099,0.0901
4FGL J0658.6+0636,104.6599,6.6110,10.0800,$(3.6\pm0.54)	imes10^{-12}$,0.9098,0.0902
4FGL J1730.6+3805,262.6642,38.0855,5.5600,$(1.3\pm0.33)	imes10^{-12}$,0.9091,0.0909
4FGL J0207.9+2203,31.9861,22.0591,7.6300,$(2.4\pm0.41)	imes10^{-12}$,0.9086,0.0914
